id,date,holiday
531,2048-06-04,Corpus Christi
532,2048-11-20,Dia Nacional da Consciência Negra
533,2048-12-24,Véspera de Natal
534,2048-12-25,Natal
535,2048-12-31,Véspera de Ano-Novo
536,2049-01-01,Confraternização Universal
537,2049-03-01,Carnaval
538,2049-03-02,Carnaval
539,2049-04-16,Sexta-feira Santa
540,2049-04-21,Tiradentes
541,2049-06-17,Corpus Christi
542,2049-12-24,Véspera de Natal
543,2049-12-31,Véspera de Ano-Novo
544,2050-02-21,Carnaval
545,2050-02-22,Carnaval
546,2050-04-08,Sexta-feira Santa
547,2050-04-21,Tiradentes
548,2050-06-09,Corpus Christi
549,2051-02-13,Carnaval
550,2051-02-14,Carnaval
551,2051-03-31,Sexta-feira Santa
552,2051-04-21,Tiradentes
553,2051-05-01,Dia do Trabalho
554,2051-06-01,Corpus Christi
555,2051-11-20,Dia Nacional da Consciência Negra
556,2051-12-25,Natal
557,2052-01-01,Confraternização Universal
558,2052-03-04,Carnaval
559,2052-03-05,Carnaval
560,2052-04-19,Sexta-feira Santa
561,2052-05-01,Dia do Trabalho
562,2052-06-20,Corpus Christi
563,2052-11-20,Dia Nacional da Consciência Negra
564,2052-12-24,Véspera de Natal
565,2052-12-25,Natal
566,2052-12-31,Véspera de Ano-Novo
567,2053-01-01,Confraternização Universal
568,2053-02-17,Carnaval
569,2053-02-18,Carnaval
570,2053-04-04,Sexta-feira Santa
571,2053-04-21,Tiradentes
572,2053-05-01,Dia do Trabalho
573,2053-06-05,Corpus Christi
574,2053-11-20,Dia Nacional da Consciência Negra
575,2053-12-24,Véspera de Natal
576,2053-12-25,Natal
577,2053-12-31,Véspera de Ano-Novo
578,2054-01-01,Confraternização Universal
579,2054-02-09,Carnaval
580,2054-02-10,Carnaval
581,2054-03-27,Sexta-feira Santa
582,2054-04-21,Tiradentes
583,2054-05-01,Dia do Trabalho
584,2054-05-28,Corpus Christi
585,2054-11-20,Dia Nacional da Consciência Negra
586,2054-12-24,Véspera de Natal
587,2054-12-25,Natal
588,2054-12-31,Véspera de Ano-Novo
589,2055-01-01,Confraternização Universal
590,2055-03-01,Carnaval
591,2055-03-02,Carnaval
592,2055-04-16,Sexta-feira Santa
593,2055-04-21,Tiradentes
594,2055-06-17,Corpus Christi
595,2055-12-24,Véspera de Natal
596,2055-12-31,Véspera de Ano-Novo
597,2056-02-14,Carnaval
598,2056-02-15,Carnaval
599,2056-03-31,Sexta-feira Santa
600,2056-04-21,Tiradentes
601,2056-05-01,Dia do Trabalho
602,2056-06-01,Corpus Christi
603,2056-11-20,Dia Nacional da Consciência Negra
604,2056-12-25,Natal
605,2057-01-01,Confraternização Universal
606,2057-03-05,Carnaval
607,2057-03-06,Carnaval
608,2057-04-20,Sexta-feira Santa
